edad,sexo,estado salud,ingresos,deporte,educacion
9,hombre,Malo,Bajo,Sí,Secundaria
22,mujer,Normal,Medio,No,Primaria
25,hombre,Excelente,Alto,Sí,Universitaria
27,mujer,Normal,Bajo,No,Postgrado
30,,,Medio,Sí,Secundaria
32,,Malo,Bajo,No,Primaria
35,hombre,Normal,Alto,Sí,Universitaria
37,mujer,Excelente,Medio,No,Secundaria
40,hombre,Normal,Bajo,Sí,Postgrado
43,mujer,Malo,Medio,,Primaria
46,hombre,,Alto,Sí,Universitaria
48,mujer,Malo,Bajo,No,Secundaria
51,hombre,Excelente,,Sí,Primaria
54,mujer,Malo,Bajo,No,Postgrado
56,hombre,Normal,Alto,Sí,Universitaria
58,mujer,Malo,Medio,No,
61,hombre,Malo,Bajo,Sí,Primaria
63,mujer,,Alto,No,Postgrado
64,,Excelente,Medio,Sí,Universitaria
65,mujer,Malo,Bajo,No,Secundaria
40,,Malo,Alto,Sí,Primaria
51,hombre,Normal,Medio,No,Postgrado
9,hombre,Malo,Bajo,Sí,Universitaria
22,mujer,Excelente,Medio,No,Secundaria
25,hombre,Malo,,Sí,Primaria
27,hombre,Excelente,Bajo,No,Universitaria
51,hombre,Excelente,Medio,Sí,Primaria
64,mujer,Malo,Medio,Sí,Secundaria
35,hombre,Malo,Alto,No,Postgrado
18,mujer,,Bajo,Sí,
52,hombre,Malo,Medio,No,Universitaria
71,mujer,Otro,Alto,Sí,Secundaria
29,hombre,Malo,Bajo,No,Primaria
47,mujer,Otro,Medio,Sí,Postgrado
15,hombre,,Alto,No,Universitaria
38,mujer,Excelente,Bajo,Sí,Secundaria
23,hombre,Malo,Medio,No,Primaria
60,mujer,Malo,Alto,Sí,Postgrado
76,hombre,,Bajo,No,Universitaria
55,mujer,Normal,Medio,Sí,Secundaria
65,mujer,Malo,Bajo,,Secundaria
19,hombre,Excelente,Alto,,
41,mujer,Malo,Bajo,Sí,Universitaria
30,hombre,Malo,Medio,No,Secundaria
66,mujer,Normal,,Sí,Postgrado
25,hombre,Excelente,Bajo,No,Primaria
49,mujer,Malo,Medio,Sí,Universitaria
80,hombre,,Alto,No,Secundaria
33,mujer,Malo,Bajo,Sí,Primaria
44,hombre,Normal,Medio,No,Postgrado
58,mujer,Otro,Alto,Sí,Universitaria
16,hombre,Malo,Bajo,No,Secundaria
60,mujer,Malo,Alto,Sí,
58,mujer,Malo,Medio,No,Secundaria
